id,Compound,Number of layers,Space group,Struct. type,DJorRP,LSF t1,LSF t2,"Eg (calc.), eV","Optical Eg (exp.), eV",Spacer (interlayer) cation,Intralayer cation,M-X-M angles distribution,M-X bonds in octahedra,CIF,Reference,
193,[C(NH2)3]2SnI4,1,Pmna,100,DJ,0,0,2,None,Guanidinium,None,*.dia,*.dia,CIF,doi:,10.1002/ejic.201601499
194,[C(NH2)3]2SnI4,1,Pnnm,110,DJ,0,0.01,2.08,2.06,Guanidinium,None,*.dia,*.dia,CIF,doi:,10.1002/ejic.201601499
195,[C(NH2)3]2SnI4,1,P21/c,110,else,0.01,0.06,1.98,None,Guanidinium,None,*.dia,*.dia,CIF,doi:,10.1002/ejic.201601499
196,[C(NH2)3]2SnI4,1,P-1,110,else,0.03,0.06,1.99,None,Guanidinium,None,*.dia,*.dia,CIF,doi:,10.1002/ejic.201601499
197,[C(NH2)3]2PbI4,1,Pmna,100,DJ,0,0,2.01,None,Guanidinium,None,*.dia,*.dia,CIF,doi:,10.1002/ejic.201601499
198,[C(NH2)3]2PbI4,1,Pnnm,110,DJ,0,0.01,2.18,None,Guanidinium,None,*.dia,*.dia,CIF,doi:,10.1002/ejic.201601499
199,[C(NH2)3]2PbI4,1,P21/c,110,else,0.01,0.1,2.01,None,Guanidinium,None,*.dia,*.dia,CIF,doi:,10.1002/ejic.201601499
200,[C3H5N2][C(NH2)3]PbBr4,1,P-1,110,else,0.09,0.2,2.63,None,"Imidazolium,Guanidinium",None,*.dia,*.dia,CIF,doi:,10.1039/C9CC04964A
201,[C2H4N3][C(NH2)3]PbBr4,1,P21/c,110,else,0.21,0.27,2.82,None,"1,2,4-triazolium,Guanidinium",None,*.dia,*.dia,CIF,doi:,10.1039/C9CC04964A
202,[C2H4N3][C(NH2)3]PbBr4,1,P2/c,110,None,None,None,2.72,2.88,"1,2,4-triazolium,Guanidinium",None,*.dia,*.dia,CIF,doi:,10.1039/C9CC04964A
203,[C3H5N2][C(NH2)3]PbBr4,1,P-1,110,else,0.06,0.13,2.63,2.77,"Imidazolium,Guanidinium",None,*.dia,*.dia,CIF,doi:,10.1039/C9CC04964A
204,[CH3(CH2)4NH3]2[CH3NH3]Pb2I7,2,Cmcm,100,RP,0.49,0.5,1.94,2.14,Pentylammonium,Methylammonium,*.dia,*.dia,CIF,doi:,10.1021/acs.chemmater.9b01318
205,[CH3(CH2)4NH3]2[CH3NH3]Pb2I7,2,C2/c,100,else,0.28,0.28,2.06,2.1,Pentylammonium,Methylammonium,*.dia,*.dia,CIF,doi:,10.1021/acs.chemmater.9b01318
206,[CH3(CH2)3NH3]2[CH3NH3]Pb2I7,2,Cmcm,100,RP,0.5,0.5,1.94,2.09,Butylammonium,Methylammonium,*.dia,*.dia,CIF,doi:,10.1021/acs.chemmater.9b01318
207,[CH3(CH2)3NH3]2[CH3NH3]Pb2I7,2,P-1,100,else,0.28,0.29,1.99,2.09,Butylammonium,Methylammonium,*.dia,*.dia,CIF,doi:,10.1021/acs.chemmater.9b01318
208,[CH3(CH2)4NH3]2[CH3NH3]Pb2I7,2,P21/m,100,else,0.29,0.3,2.02,2.1,Pentylammonium,Methylammonium,*.dia,*.dia,CIF,doi:,10.1021/acs.chemmater.9b01318
209,[CH3(CH2)3NH3]2[CH3NH3]2Pb3I10,3,Cmca,100,RP,0.5,0.5,1.87,1.96,Butylammonium,Methylammonium,*.dia,*.dia,CIF,doi:,10.1021/acs.chemmater.9b01318
210,[CH3(CH2)3NH3]2[CH3NH3]2Pb3I10,3,P-1,100,else,0.28,0.28,1.9,1.96,Butylammonium,Methylammonium,*.dia,*.dia,CIF,doi:,10.1021/acs.chemmater.9b01318
211,[CH3(CH2)3NH3]2[CH3NH3]3Pb4I13,4,Cmcm,100,RP,0.5,0.5,1.84,1.85,Butylammonium,Methylammonium,*.dia,*.dia,CIF,doi:,10.1021/acs.chemmater.9b01318
212,[CH3(CH2)3NH3]2[CH3NH3]3Pb4I13,4,P-1,100,else,0.28,0.29,1.9,1.85,Butylammonium,Methylammonium,*.dia,*.dia,CIF,doi:,10.1021/acs.chemmater.9b01318
213,[CH3(CH2)5NH3]2[CH3NH3]Pb2I7,2,Cmcm,100,RP,0.5,0.5,1.9,2.09,Hexylammonium,Methylammonium,*.dia,*.dia,CIF,doi:,10.1021/acs.chemmater.9b01318
214,[CH3(CH2)5NH3]2[CH3NH3]Pb2I7,2,C2/c,100,else,0.13,0.13,2.09,2.09,Hexylammonium,Methylammonium,*.dia,*.dia,CIF,doi:,10.1021/acs.chemmater.9b01318
215,[CH3(CH2)3NH3]2[HC(NH2)2]Pb2I7,2,Cmcm,100,RP,0.5,0.5,1.93,2.12,Butylammonium,Formamidinium,*.dia,*.dia,CIF,doi:,10.1021/acs.chemmater.9b01318
216,[CH3(CH2)3NH3]2[HC(NH2)2]Pb2I7,2,P-1,100,else,0.28,0.28,2.02,2.12,Butylammonium,Formamidinium,*.dia,*.dia,CIF,doi:,10.1021/acs.chemmater.9b01318
217,[小H3NHNH3]2PbI4,1,P-1,100,else,0.12,0.49,2.04,None,Methylhydrazinium,None,*.dia,*.dia,CIF,doi:,10.1021/acs.chemmater.9b03775
218,[小H3NHNH3]2PbI4,1,Pccn,100,else,0.14,0.48,2.07,2.12,Methylhydrazinium,None,*.dia,*.dia,CIF,doi:,10.1021/acs.chemmater.9b03775
219,[小H3NHNH3]2PbI4,1,Pmmn,100,else,0.17,0.5,1.97,None,Methylhydrazinium,None,*.dia,*.dia,CIF,doi:,10.1021/acs.chemmater.9b03775
220,[小H3NHNH3]2PbI4,1,Pmmn,100,else,0.17,0.5,2.12,None,Methylhydrazinium,None,*.dia,*.dia,CIF,doi:,10.1021/acs.chemmater.9b03775
221,[CH3(CH2)3CH(C2H5)CH2NH3]2PbI4,1,P21/c,100,else,0.2,0.2,2.31,2.38,2-ethyl-hexylammonium,None,*.dia,*.dia,CIF,doi:,10.1039/C8SC03863E
222,[CH3(CH2)4CH(CH3)NH3]2PbI4,1,P21/c,100,else,0.43,0.46,2.28,2.39,1-methyl-hexylammonium,None,*.dia,*.dia,CIF,doi:,10.1039/C8SC03863E
223,[(C5H8)NH3]PbI4,1,P21/c,100,else,0.45,0.49,2.29,2.51,1-methyl-butylammonium,None,*.dia,*.dia,CIF,doi:,10.1039/C8SC03863E
224,[CH3CH2CH(CH3)NH3]2PbI4,1,P42/ncm,100,RP,0.5,0.5,2.08,2.4,1-methyl-propylammonium,None,*.dia,*.dia,CIF,doi:,10.1039/C8SC03863E
225,[ClC6H5CH2NH3]2PbI4,1,P21,100,else,0.18,0.18,2.35,None,4-chlorophenylmethylammonium,None,*.dia,*.dia,CIF,doi:,10.1107/S2052520615019885
226,[C5H5NC5H5N]PbI4,None,I2/a,None,DJ,0,0,2.17,None,"4,4'-bipyridine",None,*.dia,*.dia,CIF,doi:,10.1107/S2052520615019885
227,[C5H5NC5H5N]Pb2I6*2DMSO,None,Pbca,None,DJ,0,0,2.21,None,"4,4'-bipyridine",None,*.dia,*.dia,CIF,doi:,10.1107/S2052520615019885
228,[C5H5N(CH2)2C5H5N]PbI26*2DMF,None,P21/c,None,else,0.04,0.33,2.27,None,"4,4'-Ethylenedipyridine",None,*.dia,*.dia,CIF,doi:,10.1107/S2052520615019885
229,[C5H5N(CH2)2C5H5N]Pb2I6*4DMSO,None,P21/c,None,else,0.06,0.15,2.28,None,"4,4'-Ethylenedipyridine",None,*.dia,*.dia,CIF,doi:,10.1107/S2052520615019885
230,[C3H5N2]PbI3,None,P63/m,None,else,0.01,0.06,2.09,None,Imidazolium,None,*.dia,*.dia,CIF,doi:,10.1107/S2052520615019885
231,[NH2(C2H4)2NH2]2PbI6,None,P2/n,None,None,None,None,2.19,None,Piperazinium,None,*.dia,*.dia,CIF,doi:,10.1107/S2052520615019885
232,[C6H11NH3]PbBr4,1,Cmc21,100,else,0.46,0.47,2.52,None,Cyclohexylammonium,None,*.dia,*.dia,CIF,doi:,10.1021/acs.jpcc.5b06211
233,[HOOCC6H10CH2NH3]SnI4,1,Cmca,100,RP,0.49,0.5,1.82,None,None,None,*.dia,*.dia,CIF,doi:,10.1021/cm702405c
234,[I(CH2)3NH3]2SnI4,1,P21/c(P21/a),100,else,0.07,0.07,1.65,None,3-iodopropylammonium,None,*.dia,*.dia,CIF,doi:,10.1021/cm702405c
235,[HOOC(CH2)3NH3]2SnI4,1,Pbca,100,RP,0.48,0.5,1.66,None,γ-Aminobutyric acid protonated,None,*.dia,*.dia,CIF,doi:,10.1021/cm702405c
236,[C5H11N(CH2)2NH3]SnI4,1,P21/c,100,else,0.21,0.26,1.87,None,1-(aminoethyl)piperidinium,None,*.dia,*.dia,CIF,doi:,10.1021/cm702405c
237,[IC5H5N]2SnI4,1,Pnma,100,DJ,0,0,1.92,None,3-iodopyridine,None,*.dia,*.dia,CIF,doi:,10.1021/cm702405c
238,[NH3(CH2)5NH3]SnI4,1,C2/c,100,else,0.22,0.33,1.85,None,"1,5-pentyldiammonium",None,*.dia,*.dia,CIF,doi:,10.1021/cm702405c
239,[C6H5(CH2)2NH3]2SnI4,1,C2/m,100,else,0.18,0.5,1.77,None,Phenylethylammonium,None,*.dia,*.dia,CIF,doi:,10.1021/cm702405c
240,[ClC6H4(CH2)2NH3]2SnI4,1,C2/m,100,else,0.02,0.5,1.79,2,2-chlorophenylethylammonium,None,*.dia,*.dia,CIF,doi:,10.1021/ic0261474
241,[F2C7H7N2]2SnI4,1,P-1,100,DJ,0,0.01,2.03,None,"5,6-difluorobenzimidazolium",None,*.dia,*.dia,CIF,doi:,10.1107/S1600536814019151
242,[CH3(CH2)11NH3]PbI3,None,P-1,100,DJ,0,0.01,1.95,1.87,n-dodecylammonium,None,*.dia,*.dia,CIF,doi:,10.1021/ic0347081
243,[CH3(CH2)11NH3]2PbI4,1,Pbca,100,RP,0.48,0.5,2.05,2.03,n-dodecylammonium,None,*.dia,*.dia,CIF,doi:,10.1021/ic0347081
244,[C(NH2)3]3[CH3C3H4N2]Sn2I8,None,P-1,110,else,0.1,0.16,2.09,None,"1-methylimidazolium,Guanidinium",None,*.dia,*.dia,CIF,doi:,10.1039/D0CC00549E
245,"[(2,3-C4H4S(CH3)-2,5-C4H4S)2(CH2)2NH3]2SnI4",1,P1,100,else,0.32,0.49,2.09,1.89,"2-(3''',4'-dimethyl-[2,2':5',2'':5'',2'''-quaterthiophen]-5-yl)ethan-1-ammonium",None,*.dia,*.diaCIF,doi:,10.1021/jacs.9b06276,
246,[C6H5(CH2)2NH3]2SnI4,1,P-1,100,else,0.19,0.5,1.9,1.88,Phenylethylammonium,None,*.dia,*.dia,CIF,doi:,10.1021/jacs.9b06276
247,[(CH3)3N(CH2)2NH3]SnI4,1,小mca,100,DJ,0,0,1.94,1.85,2-trimethylammoniumethylammonium,None,*.dia,*.dia,CIF,doi:,10.1021/ic0261981
248,[(C3H6N2)2]PbI4,1,C2/c,100,else,0.09,0.39,2.11,None,"2,2'-biimidazolium",None,*.dia,*.dia,CIF,doi:,10.1039/b007639m
249,[(C3H6N2)2]SnI4,1,C2/c,100,else,0.02,0.46,2.09,None,"2,2'-biimidazolium",None,*.dia,*.dia,CIF,doi:,10.1039/b007639m
250,[CH3(CH2)3NH3]2SnI4,1,Pbca,100,else,0.47,0.5,2.04,1.92,Butylammonium,None,*.dia,*.dia,CIF,doi:,10.1021/acs.chemmater.7b03293
251,[C6F5(CH2)2NH3][小10H7(CH2)2NH3]SnI4,1,C2/c,100,else,0.38,0.49,1.81,1.89,"2,3,4,5,6-pentafluorophenethylammonium,2-naphthyleneethylammonium",None,*.dia,*.dia,CIF,doi:,10.1021/cm034267j
252,[FC6H4(CH2)2NH3]2SnI4,1,C2/c,100,else,0.11,0.5,2.03,2.01,2-fluorophenylethylammonium,None,*.dia,*.dia,CIF,doi:,10.1021/cm010105g
253,[FC6H4(CH2)2NH3]2SnI4,1,C2/c,100,else,0.32,0.48,2.03,1.97,3-fluorophenylethylammonium,None,*.dia,*.dia,CIF,doi:,10.1021/cm010105g
254,[FC6H4(CH2)2NH3]2SnI4,1,P21c,100,else,0.29,0.29,2.09,1.93,4-fluorophenylethylammonium,None,*.dia,*.dia,CIF,doi:,10.1021/cm010105g
255,[CH3(CH2)3NH3]2[CH3NH3]2Sn3I10,3,Cmca,100,RP,0.5,0.5,1.78,None,Butylammonium,Methylammonium,*.dia,*.dia,CIF,doi:,10.1038/369467a0
256,[IC(NH2)2][CH3NH3]SnI4,None,P21/m,110,else,0,0.12,2.03,None,"Iodoformamidinium,Methylammonium",None,*.dia,*.dia,CIF,doi:,10.1126/science.267.5203.1473
257,[C(NH2)3]2SnI4,None,P21/c,100,None,None,None,2.22,2.1,Guanidinium,None,*.dia,*.dia,CIF,doi:,10.1021/acs.inorgchem.6b02764
258,Cs4CuSb2Cl12,None,C2/m,111,None,None,None,None,None,Caesium,None,*.dia,*.dia,CIF,doi:,10.1021/jacs.7b04119
259,[(CH3)2CHNH3]3Sn2I7,2,P42cm,100,RP,0.48,0.49,1.97,2.1,isopropylammonium,None,*.dia,*.dia,CIF,doi:,10.1021/acs.inorgchem.6b02764
260,(CH3(CH2)3NH3)2(CH3NH3)Sn2I7,2,Ama2,100,RP,0.5,0.5,1.89,1.65,"Butylammonium,Methylammonium",None,*.dia,*.dia,CIF,doi:,10.1021/acs.inorgchem.6b02765
261,[C6H5(CH2)2NH3]2GeI4,1,P-1,100,else,0.13,0.41,1.9,2.12,Phenylethylammonium,None,*.dia,*.dia,CIF,doi:,10.1021/acs.jpclett.7b01985
262,[C5H4N(CH2)NH3]CuCl4,1,Pna21,100,None,None,None,None,None,3-Pyridinylmethylammonium,None,*.dia,*.dia,CIF,doi:,10.1021/ic960849+
263,[C5H4N(CH2)NH3]CuBr4,1,Pna21,100,DJ,0,0,None,None,3-Pyridinylmethylammonium,None,*.dia,*.dia,CIF,doi:,10.1021/ic960849+
264,[CH3CH2NH3]2CuCl4,1,Pbca,100,RP,0.5,0.5,None,2.74,Ethylammonium,None,*.dia,*.dia,CIF,doi:,10.1016/S0020-1693(00)93307-3
265,[NH3(CH2)2O(CH2)2O(CH2)2NH3]CuCl4,1,P1,100,RP,0.5,0.5,None,None,"2,2'-(ethylenedioxy)bis-(ethylammonium)",None,*.dia,*.dia,CIF,doi:,10.1021/acs.inorgchem.6b01186
266,[CH3(CH2)3NH3]2CuCl4,1,P21/c,100,else,0.4,0.4,None,None,Butylammonium,None,*.dia,*.dia,CIF,doi:,10.1002/ejic.201101200
267,[NH3(CH2)4NH3]CuCl4,1,P21/c,100,else,0.08,0.09,None,None,"1,4-butanediamine",None,*.dia,*.dia,CIF,doi:,10.1016/S0022-3697(96)00045-5
268,[CH3(CH2)3NH3]2SnI4,1,Pbca,100,else,0.47,0.5,1.78,None,Butylammonium,None,*.dia,*.dia,CIF,doi:,10.1021/cm702405c
269,[HO(CH2)2NH3]2SnI4,1,P21/c,100,else,0.2,0.21,2.16,2.07,2-hydroxyethylammonium,None,*.dia,*.dia,CIF,doi:,10.1021/acsenergylett.8b01046
270,[HO(CH2)2NH3]2SnI4,1,Pmna,100,else,0.01,0.4,2.09,2.07,2-hydroxyethylammonium,None,*.dia,*.dia,CIF,doi:,10.1021/acsenergylett.8b01046
271,[HO(CH2)2NH3]2PbI4,1,P21/c,100,else,0.2,0.2,2.13,2.1,2-hydroxyethylammonium,None,*.dia,*.dia,CIF,doi:,10.1021/ic048814u
272,[HO(CH2)2NH3]2PbBr4,1,Pbcn,100,else,0.16,0.17,2.78,2.74,2-hydroxyethylammonium,None,*.dia,*.dia,CIF,doi:,10.1021/ic048814u
273,Cs[C(NH2)3]SnBr4,1,Imma,100,None,None,None,2.66,None,"Caesium,Guanidinium",None,*.dia,*.dia,CIF,doi:,10.1021/acs.chemmater.9b00038
274,Cs2[C(NH2)3]Sn2Br7,2,小mmm,100,None,None,None,2.59,2.16,"Caesium,Guanidinium",Cs,*.dia,*.dia,CIF,doi:,10.1021/acs.chemmater.9b00038
275,Cs8Sn6Br13I7,None,Cmcm,None,None,None,None,2.31,2.23,Caesium,None,*.dia,*.dia,CIF,doi:,10.1021/acs.chemmater.9b00038
276,[NH3(CH2)5NH3]SnI4,None,Pbcn,corru-gated4x4,else,0.01,0.22,1.99,None,"1,5-pentyldiammonium",None,*.dia,*.dia,CIF,doi:,10.1039/a905323i
277,Cs2SnCl2I2,1,I4/mmm,100,None,None,None,2.52,2.62,"1,5-pentyldiammonium",None,*.dia,*.dia,CIF,doi:,10.1021/acs.chemmater.8b02232
278,Cs2Rb2Sn3Cl8I2,None,Cmcm,None,RP,0.49,0.5,2.43,2.81,"1,5-pentyldiammonium,Rubidium",None,*.dia,*.dia,CIF,doi:,10.1021/acs.chemmater.8b02232
279,SnRb3Cl2.33I2.67,None,P63mc,111,None,None,None,2.37,None,"1,5-pentyldiammonium,Rubidium",None,*.dia,*.dia,CIF,doi:,10.1021/acs.chemmater.8b02232
280,[CH3NH3]2CdCl4,None,P21/m,None,DJ,0,0.02,3.34,4.13,Methylammonium,None,*.dia,*.dia,CIF,doi:,10.1039/C8TC02153H
281,[C6H5(CH2)2NH3]2CdCl4,1,Pbca(Pcab),100,RP,0.5,0.5,3.24,None,Phenylethylammonium,None,*.dia,*.dia,CIF,doi:,10.1107/S0108270197005726
282,[CH3NH3]2MnCl4,1,P42/ncm,100,RP,0.5,0.5,None,None,Phenylethylammonium,None,*.dia,*.dia,CIF,doi:,10.1002/pssa.2210350225
283,Cs4MnSb2Cl12,None,R-3m,111,None,None,None,None,None,None,None,*.dia,*.dia,CIF,doi:,10.1021/acs.chemmater.8b02099
284,(NH3(CH2)3NH3)MnCl4,1,Imma,100,DJ,0,0,None,None,"1,3-propyldiammonium",None,*.dia,*.dia,CIF,doi:,10.1016/0301-0104(75)80098-X
285,[C6H5(CH2)2NH3]2CuCl4,1,Pbca,100,RP,0.5,0.5,None,None,Phenylethylammonium,None,*.dia,*.dia,CIF,doi:,10.1021/cm2023696
286,[C6H5(CH2)2NH3]2CuCl4,1,Cmca,100,RP,0.5,0.5,None,None,Phenylethylammonium,None,*.dia,*.dia,CIF,doi:,10.1021/cm2023696
287,[C5H9NH3]2CuBr4,None,Pna21(Pn21a),not2D,None,None,None,None,None,Cyclopentylammonium,None,*.dia,*.dia,CIF,doi:,10.1021/ic030317a
288,[C5H9NH3]2CuBr4,None,Pna21,not2D,None,None,None,None,None,Cyclopentylammonium,None,*.dia,*.dia,CIF,doi:,10.1021/ic030317a
289,[C8H8N4]SnI4,1,C2/m,100,else,0.27,0.3,2.1,1.79,Benzodiimidazolium,None,*.dia,*.dia,CIF,doi:,10.1002/anie.201811497
290,[C8H8N4]PbI4,1,C2/m,100,else,0.29,0.31,2.04,None,Benzodiimidazolium,None,*.dia,*.dia,CIF,doi:,10.1002/anie.201811497
291,[CH3(CH2)3NH3]2[CH3NH3]2Sn3Br10,3,Cmc21,100,RP,0.48,0.49,2.65,2.22,Butylammonium,Methylammonium,*.dia,*.dia,CIF,doi:,10.1021/jacs.9b11341
292,[CH3(CH2)3NH3]2[CH3NH3]2Sn3Br10,3,Cmca,100,RP,0.5,0.5,2.51,None,Butylammonium,Methylammonium,*.dia,*.dia,CIF,doi:,10.1021/jacs.9b11341
293,[CH3(CH2)3NH3]2[CH3NH3]2Sn3Br10,3,I4/m,100,RP,0.5,0.5,2.5,None,Butylammonium,Methylammonium,*.dia,*.dia,CIF,doi:,10.1021/jacs.9b11341
294,[CH3(CH2)3NH3]2[CH3NH3]2Sn3Br10,3,Cmc21,100,else,0.47,0.49,2.5,2.4,Butylammonium,Methylammonium,*.dia,*.dia,CIF,doi:,10.1002/anie.201705836
295,[CH3(CH2)3NH3]2[CH3NH3]2Sn3Br10,3,Cmca,100,RP,0.5,0.5,2.34,None,Butylammonium,Methylammonium,*.dia,*.dia,CIF,doi:,10.1002/anie.201705836
296,[C6H5(CH2)2NH3]2SnI4*C6H6,1,C/2c,100,else,0.23,0.49,2.03,None,Phenylethylammonium,None,*.dia,*.dia,CIF,doi:,10.1021/ic011190x
297,[C6H5(CH2)2NH3]2SnI4*C6F6,1,C/2c,100,else,0.18,0.5,1.94,2,Phenylethylammonium,None,*.dia,*.dia,CIF,doi:,10.1021/ic011190x
298,[NH3(CH2)2(C4H4S)4(CH2)2NH3]Bi2/3I4,1,C2/m,100,else,0.13,0.5,2.16,None,"5,5'''-bis-(aminoethyl)-2,2':5',2'':5'',2'''-quaterthiophene",None,*.dia,*.dia,CIF,doi:,10.1021/ic000794i
299,[NH3(CH2)2(C4H4S)4(CH2)2NH3]Bi2/3I4,1,C2/c,100,else,0.13,0.5,2.14,None,"5,5'''-bis-(aminoethyl)-2,2':5',2'':5'',2'''-quaterthiophene",None,*.dia,*.dia,CIF,doi:,10.1021/ic000794i
300,[NH3(CH2)2(C4H4S)4(CH2)2NH3]Sb2/3I4,1,C2/m,100,else,0.13,0.5,None,None,"5,5'''-bis-(aminoethyl)-2,2':5',2'':5'',2'''-quaterthiophene",None,*.dia,*.dia,CIF,doi:,10.1021/ic000794i
301,[NH3(CH2)2(C4H4S)4(CH2)2NH3]Sb2/3I4,1,C2/c,100,else,0.13,0.5,None,None,"5,5'''-bis-(aminoethyl)-2,2':5',2'':5'',2'''-quaterthiophene",None,*.dia,*.dia,CIF,doi:,10.1021/ic000794i
302,[C6H5CH2NH3]2SnCl4,1,Cmc21,100,RP,0.49,0.5,3.3,3.04,Phenylmethylammonium,None,*.dia,*.dia,CIF,doi:,10.1039/c9ta11923j
303,[C6H5CH2NH3]2SnBr4,1,Cmc21,100,RP,0.5,0.5,2.72,2.41,Phenylmethylammonium,None,*.dia,*.dia,CIF,doi:,10.1039/c9ta11923j
304,[C6H5CH2NH3]2SnI4,1,Pbca,100,RP,0.48,0.5,2.03,None,Phenylmethylammonium,None,*.dia,*.dia,CIF,doi:,10.1039/c9ta11923j
305,[C6H11NH3CH3]4Pb3I10,None,Pbcn,None,else,0.01,0.08,2.13,None,Cyclohexylmethylammonium,None,*.dia,*.dia,CIF,doi:,10.1021/acs.cgd.8b00938
306,[C6H11NH3CH3]4Pb3I10,None,Cmca,None,else,0.12,0.12,2.13,2.48,Cyclohexylmethylammonium,None,*.dia,*.dia,CIF,doi:,10.1021/acs.cgd.8b00938
307,[C2H5NH3]2FeCl4,1,I/4mmm,100,RP,0.5,0.5,None,None,Ethylammonium,None,*.dia,*.dia,CIF,doi:,10.1021/ic5030229
308,[C2H5NH3]2FeCl4,1,P42/ncm,100,RP,0.5,0.5,None,None,Ethylammonium,None,*.dia,*.dia,CIF,doi:,10.1021/ic5030229
309,[C2H5NH3]2FeCl4,1,Pccn,100,RP,0.5,0.5,None,None,Ethylammonium,None,*.dia,*.dia,CIF,doi:,10.1021/ic5030229
310,[C2H5NH3]2FeCl4,1,Pbca(Pcab),100,RP,0.5,0.5,None,None,Ethylammonium,None,*.dia,*.dia,CIF,doi:,10.1021/ic5030229
311,[C2H5NH3]2FeCl4,1,C2/c,100,RP,0.49,0.5,None,None,Ethylammonium,None,*.dia,*.dia,CIF,doi:,10.1021/ic5030229
312,[CH3(CH2)5NH3]2CuCl4,1,P-1,None,else,0.34,0.46,None,None,Hexylammonium,None,*.dia,*.dia,CIF,doi:,10.1021/acs.chemmater.6b02208
313,[C6H11CH3NH3]2SnI4,1,P21/c,100,else,0.37,0.37,2.18,None,Cyclohexylmethylammonium,None,*.dia,*.dia,CIF,doi:,10.1016/j.poly.2017.03.025
314,[C6H11CH3NH3]2SnI4,1,Cmca,100,RP,0.5,0.5,2.05,None,Cyclohexylmethylammonium,None,*.dia,*.dia,CIF,doi:,10.1016/j.poly.2017.03.025
315,Cs3Sb2I9,None,P-3m1,111,None,None,None,None,None,Caesium,None,*.dia,*.dia,CIF,doi:,
316,[C6H5(CH2)2NH3]2[CH3NH3]2Pb3I10,3,P1,100,else,0.15,0.46,2.03,2.06,Phenylethylammonium,None,*.dia,*.dia,CIF,doi:,10.1002/anie.201406466
317,[C3H4N2(CH2)2NH3]PbI4,1,P21/c,100,else,0.09,0.41,2.04,2.05,Histammonium,None,*.dia,*.dia,CIF,doi:,10.1021/acs.chemmater.6b03054
318,[C6H5CH2NH3]PbI4,1,Pbca,100,else,0.47,0.5,2.27,2.18,Phenylmethylammonium,None,*.dia,*.dia,CIF,doi:,10.1021/acs.chemmater.6b03054
319,[C6H11NH3]2CdBr4,1,Cmc21,100,else,0.01,0.19,2.91,3.24,Cyclohexylammonium,None,*.dia,*.dia,CIF,doi:,10.1021/acsphotonics.8b00052
320,[I(CH2)2NH3]2PbI4,1,P21/c(P21/a),100,else,0.19,0.19,2.37,None,2-iodoethylammonium,None,*.dia,*.dia,CIF,doi:,10.1021/ic070240g
321,[Br(CH2)2NH3]2PbI4,1,C2/c,100,else,0.15,0.5,2.12,None,2-bromoethylammonium,None,*.dia,*.dia,CIF,doi:,10.1021/ic070240g
322,[Br(CH2)2NH3]2PbI4,1,Pnma(Pbnm),100,else,0.12,0.45,2.14,None,2-bromoethylammonium,None,*.dia,*.dia,CIF,doi:,10.1021/ic070240g
323,[NH3(CH2)2SS(CH2)2NH3]2PbI4,1,P21/c(P21/a),100,else,0.33,0.36,2.19,None,"2,2'-dithiobisethanammonium",None,*.dia,*.dia,CIF,doi:,10.1002/ejic.201301017
324,[NH3(CH2)2SS(CH2)2NH3]2PbI4,1,P21/c(P21/n),100,else,0.02,0.3,2.31,None,"2,2'-dithiobisethanammonium",None,*.dia,*.dia,CIF,doi:,10.1002/ejic.201301017
325,[NH3(CH2)2SS(CH2)2NH3]2SnI4,1,Pna21(P21cn),100,else,0.27,0.31,2,None,"2,2'-dithiobisethanammonium",None,*.dia,*.dia,CIF,doi:,10.1002/ejic.201301017
326,[C5H4N(CH2)NH3]PbI4,1,Pbca,100,else,0.22,0.25,2.14,None,3-Pyridinylmethylammonium,None,*.dia,*.dia,CIF,doi:,10.1021/acs.chemmater.8b01840
327,[C5H4N(CH2)NH3]PbI4,1,Pbca,100,else,0.23,0.24,2.11,2.02,3-Pyridinylmethylammonium,None,*.dia,*.dia,CIF,doi:,10.1021/acs.chemmater.8b01840
328,[C5H4N(CH2)NH3]PbBr4,1,Pbca,100,else,0.25,0.27,2.62,None,3-Pyridinylmethylammonium,None,*.dia,*.dia,CIF,doi:,10.1021/acs.chemmater.8b01840
329,[C5H4N(CH2)NH3]PbBr4,1,Pbca,100,else,0.24,0.26,2.66,2.79,3-Pyridinylmethylammonium,None,*.dia,*.dia,CIF,doi:,10.1021/acs.chemmater.8b01840
330,[C5H4N(CH2)NH3]Pb4Cl16,1,Pna21,100,else,0.17,0.27,3.35,None,3-Pyridinylmethylammonium,None,*.dia,*.dia,CIF,doi:,10.1021/acs.chemmater.8b01840
331,[C5H4N(CH2)NH3]PbCl4,1,Pbca,100,else,0.25,0.27,3.37,3.42,3-Pyridinylmethylammonium,None,*.dia,*.dia,CIF,doi:,10.1021/acs.chemmater.8b01840
332,[C5H4N(CH2)NH3]6IPb5I21·3H2O,None,Pnma,-,else,0,0.1,2.16,None,3-Pyridinylmethylammonium,None,*.dia,*.dia,CIF,doi:,10.1021/acs.chemmater.8b01840
333,[C5H4N(CH2)NH3]6IPb5I21·3H2O,None,Pnma,-,else,0.01,0.1,2.15,2.35,3-Pyridinylmethylammonium,None,*.dia,*.dia,CIF,doi:,10.1021/acs.chemmater.8b01840
334,[(CH3)2NH(CH2)2NH3]PbBr4,1,P21/c,100,else,0.02,0.18,2.58,None,2-(dimethylamino)ethylammonium,None,*.dia,*.dia,CIF,doi:,10.1021/jacs.7b01312
